Name,Z,Width_Avg,Width_SD,Width_Min,Width_Max,Halfwidth_Avg,Halfwidth_SD,Halfwidth_Min,Halfwidth_Max,RightHalfwidth_Avg,RightHalfwidth_SD,RightHalfwidth_Min,RightHalfwidth_Max,LeftHalfwidth_Avg,LeftHalfwidth_SD,LeftHalfwidth_Min,LeftHalfwidth_Max,AxisOffset,AxisTilt,AxisCurvature,SurfaceCoverage_Photoresist_Avg
shape_analysis,0.2245,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2255,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2265,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2275,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2285,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2295,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2305,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2315,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2325,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2335,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
