Name,Z,Radius_Avg,Radius_SD,Radius_Min,Radius_Max,FitRadius_Avg,FitRadius_SD,FitRadius_Min,FitRadius_Max,AxisOffsetX,AxisOffsetY,AxisOffsetR,AxisOffsetPhi,AxisTilt,AxisCurvature,MajorSemiaxis,MinorSemiaxis,Eccentricity,EllipseRotation,SurfaceCoverage_Photoresist_Avg,SurfaceCoverage_Silicon_Avg,SurfaceCoverage_SiFx_Avg,Thickness_Silicon_Avg,Thickness_SiFx_Avg
shape_analysis,0.1395,0.0482143,0.000872822,0.0472476,0.0497107,0.0482143,0.000872822,0.0472476,0.0497107,0,0,0,0,0,0,0.0487825,0.0477184,0.0110274,0,0,0.873494,0.126506,0,0
shape_analysis,0.1405,0.0472186,0.00113495,0.0458173,0.0493885,0.0472186,0.00113495,0.0458173,0.0493885,0,0,0,0,0,0,0.0474061,0.0471678,0.00251917,90,0,0.767857,0.232143,0,0
shape_analysis,0.1415,0.0469614,0.00143242,0.0453201,0.0496859,0.0469614,0.00143242,0.0453201,0.0496859,0,0,0,0,0,0,0.0470978,0.0470439,0.000572775,1.13687e-13,0,0.403279,0.596721,0.000778077,0
shape_analysis,0.1425,0.0468671,0.00145392,0.0451858,0.0496715,0.0468671,0.00145392,0.0451858,0.0496715,0,0,0,0,0,0,0.0470435,0.0469171,0.00134582,270,0,0.111511,0.888489,0.00019028,0
shape_analysis,0.1435,0.0469393,0.00144938,0.0452804,0.0498551,0.0469393,0.00144938,0.0452804,0.0498551,0,0,0,0,0,0,0.0470927,0.0470099,0.000880581,2.27374e-13,0,0.00692042,0.99308,0,0
shape_analysis,0.1445,0.0469327,0.00150108,0.0452079,0.0497975,0.0469327,0.00150108,0.0452079,0.0497975,0,0,0,0,0,0,0.0471186,0.0469875,0.00139224,360,0,0,1,0,0
shape_analysis,0.1455,0.0469509,0.00151072,0.0451255,0.0498563,0.0469509,0.00151072,0.0451255,0.0498563,0,0,0,0,0,0,0.0470998,0.0470452,0.00058051,270,0,0,1,0,0
shape_analysis,0.1465,0.0468955,0.00141608,0.0452604,0.0495925,0.0468955,0.00141608,0.0452604,0.0495925,0,0,0,0,0,0,0.047156,0.0468513,0.00324137,360,0,0.0139373,0.986063,0,0
shape_analysis,0.1475,0.047021,0.00139251,0.0453244,0.0497556,0.047021,0.00139251,0.0453244,0.0497556,0,0,0,0,0,0,0.0473368,0.0469147,0.00447855,270,0,0.0167224,0.983278,0,0
shape_analysis,0.1485,0.0469831,0.00146892,0.0451004,0.049805,0.0469831,0.00146892,0.0451004,0.049805,0,0,0,0,0,0,0.047375,0.0468263,0.00582424,270,0,0,1,0,0
