Name,Z,Radius_Avg,Radius_SD,Radius_Min,Radius_Max,FitRadius_Avg,FitRadius_SD,FitRadius_Min,FitRadius_Max,AxisOffsetX,AxisOffsetY,AxisOffsetR,AxisOffsetPhi,AxisTilt,AxisCurvature,MajorSemiaxis,MinorSemiaxis,Eccentricity,EllipseRotation,SurfaceCoverage_Photoresist_Avg,SurfaceCoverage_Silicon_Avg,SurfaceCoverage_SiFx_Avg,Thickness_Silicon_Avg,Thickness_SiFx_Avg
shape_analysis,0.1205,0.0495439,0.000129344,0.049386,0.0497366,0.0495439,0.000129344,0.049386,0.0497366,0,0,0,0,0,0,0.051299,0.0475738,0.0376763,0,0,0.961538,0.0384615,0,0
shape_analysis,0.1215,0.0484854,0.000543859,0.0479029,0.0494293,0.0484854,0.000543859,0.0479029,0.0494293,0,0,0,0,0,0,0.0490447,0.0479439,0.011349,5.68434e-14,0,0.864078,0.135922,0,0
shape_analysis,0.1225,0.0473693,0.00120621,0.0457126,0.0496206,0.0473693,0.00120621,0.0457126,0.0496206,0,0,0,0,0,0,0.0478271,0.0470785,0.00788763,270,0,0.871166,0.128834,0,0
shape_analysis,0.1235,0.0469644,0.00142538,0.0453185,0.0498074,0.0469644,0.00142538,0.0453185,0.0498074,0,0,0,0,0,0,0.047184,0.0469634,0.00234321,0,0,0.608392,0.391608,0.000755492,0.000293619
shape_analysis,0.1245,0.0469595,0.00145338,0.0449681,0.0496754,0.0469595,0.00145338,0.0449681,0.0496754,0,0,0,0,0,0,0.0470936,0.0470494,0.00046945,90,0,0.176471,0.823529,0.000561547,0
shape_analysis,0.1255,0.0469123,0.00139789,0.0452405,0.049548,0.0469123,0.00139789,0.0452405,0.049548,0,0,0,0,0,0,0.0471076,0.0469256,0.00193528,360,0,0.0105263,0.989474,0,0
shape_analysis,0.1265,0.0468541,0.00137115,0.0454723,0.0496246,0.0468541,0.00137115,0.0454723,0.0496246,0,0,0,0,0,0,0.0470239,0.0468856,0.00147198,2.27374e-13,0,0.0157729,0.984227,0.000876753,0.000370288
shape_analysis,0.1275,0.0469794,0.00136226,0.0455043,0.0495955,0.0469794,0.00136226,0.0455043,0.0495955,0,0,0,0,0,0,0.0470917,0.0470647,0.00028598,360,0,0,1,0,0
shape_analysis,0.1285,0.0469266,0.00146789,0.0450818,0.0496435,0.0469266,0.00146789,0.0450818,0.0496435,0,0,0,0,0,0,0.0471191,0.0469635,0.00165418,360,0,0,1,0,0
shape_analysis,0.1295,0.0468661,0.00144393,0.0452568,0.0496743,0.0468661,0.00144393,0.0452568,0.0496743,0,0,0,0,0,0,0.0471501,0.046809,0.00363084,1.7053e-13,0,0,1,0,0
