time,deposited_volume_adsorb_F_Si,deposited_volume_etch_F_Si,deposited_volume_refl_Si,deposited_volume_refl_SiFx,deposited_volume_sput_Si,deposited_volume_sput_SiFx,reaction_executions_adsorb_F_Si,reaction_executions_etch_F_Si,reaction_executions_refl_Si,reaction_executions_refl_SiFx,reaction_executions_sput_Si,reaction_executions_sput_SiFx,species_volume_Photoresist,species_volume_SiFx,species_volume_Silicon,species_volume_total,sputter_yield_adsorb_F_Si,sputter_yield_etch_F_Si,sputter_yield_refl_Si,sputter_yield_refl_SiFx,sputter_yield_sput_Si,sputter_yield_sput_SiFx,sputtered_volume_adsorb_F_Si,sputtered_volume_etch_F_Si,sputtered_volume_refl_Si,sputtered_volume_refl_SiFx,sputtered_volume_sput_Si,sputtered_volume_sput_SiFx
0,0,0,0,0,0,0,0,0,0,0,0,0,8.0696e-22,0,5e-22,1.30696e-21,0,0,0,0,0,0,0,0,0,0,0,0
0.0333333,0,0,0,0,0,0,2.29663e+06,30,4456,818,708,128205,8.05106e-22,1.01662e-24,4.53681e-22,1.2598e-21,0,0,0,0,27.2768,17.5174,0,0,0,0,3.8624e-25,4.49165e-23
0.0666667,0,0,0,0,0,0,4.42937e+06,101,9046,1713,1374,250158,8.0325e-22,2.0131e-24,4.10649e-22,1.21591e-21,0,0,0,0,27.7868,17.3041,0,0,0,0,7.6358e-25,8.65751e-23
0.1,0,0,0,0,0,0,5.18959e+06,213,10649,2121,1620,293127,8.01328e-22,2.50328e-24,3.953e-22,1.19913e-21,0,0,0,0,28.0111,17.277,0,0,0,0,9.0756e-25,1.01287e-22
0.133333,0,0,0,0,0,0,5.2581e+06,325,10653,2262,1621,295814,7.99423e-22,2.56324e-24,3.93929e-22,1.19592e-21,0,0,0,0,28.0185,17.3412,0,0,0,0,9.0836e-25,1.02595e-22
0.166667,0,0,0,0,0,0,5.33251e+06,480,10655,2383,1621,298785,7.97529e-22,2.61102e-24,3.92441e-22,1.19258e-21,0,0,0,0,28.0185,17.4093,0,0,0,0,9.0836e-25,1.04033e-22
0.2,0,0,0,0,0,0,5.39527e+06,642,10656,2481,1621,301328,7.95606e-22,2.63778e-24,3.91186e-22,1.18943e-21,0,0,0,0,28.0185,17.4657,0,0,0,0,9.0836e-25,1.05258e-22
0.233333,0,0,0,0,0,0,5.44047e+06,814,10656,2567,1621,303231,7.9362e-22,2.6634e-24,3.90282e-22,1.18657e-21,0,0,0,0,28.0185,17.5003,0,0,0,0,9.0836e-25,1.06133e-22
